City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hobart,AU,67.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
3,Deniliquin,AU,67.5,overcast clouds,-35.5333,144.9667,Riviana Motel
9,Cidreira,BR,69.69,scattered clouds,-30.1811,-50.2056,Hotel Castelo
15,East London,ZA,68.54,overcast clouds,-33.0153,27.9116,Tu Casa
16,Victoria,HK,65.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
18,Busselton,AU,61.09,broken clouds,-33.65,115.3333,Observatory Guest House
19,Saldanha,ZA,60.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
22,Hilo,US,74.93,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Hermanus,ZA,60.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Wanning,CN,63.12,broken clouds,18.8003,110.3967,Paradise Hotel
25,Buchanan,LR,75.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
28,Eirunepe,BR,71.42,overcast clouds,-6.6603,-69.8736,Atrás de você
29,Dutlwe,BW,68.05,overcast clouds,-23.9833,23.9,
34,New Norfolk,AU,66.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
47,Nuevo Ideal,MX,60.42,overcast clouds,24.8875,-105.0728,Hotel Las Águilas
53,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
56,Chuy,UY,64.2,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
57,Port Alfred,ZA,68.61,overcast clouds,-33.5906,26.891,The Halyards Hotel
58,Grand-Santi,GF,73.6,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
60,Qandala,SO,73.65,few clouds,11.472,49.8728,
67,Grandview,US,60.78,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
70,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Tura,IN,65.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
82,Castro,BR,63.75,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
90,Taoudenni,ML,60.53,overcast clouds,22.6783,-3.9836,
91,Flinders,AU,71.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
