City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Awjilah,LY,29.1081,21.2869,56.52,61,0,7.2,clear sky
1,Ushuaia,AR,-54.8,-68.3,47.86,53,40,25.32,scattered clouds
2,Hobart,AU,-42.8794,147.3294,67.26,55,75,4.0,broken clouds
3,Deniliquin,AU,-35.5333,144.9667,67.5,49,99,13.49,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,76.69,73,87,6.26,overcast clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,1,8.05,clear sky
6,Huanren,CN,41.2647,125.3667,33.76,94,100,2.71,overcast clouds
7,Jumla,NP,29.2747,82.1838,39.94,90,77,4.16,broken clouds
8,Emerald,AU,-23.5333,148.1667,80.74,69,40,9.22,scattered clouds
9,Cidreira,BR,-30.1811,-50.2056,69.69,87,49,13.98,scattered clouds
10,Atuona,PF,-9.8,-139.0333,78.6,76,6,18.16,clear sky
11,Ketchikan,US,55.3422,-131.6461,30.67,80,90,0.0,overcast clouds
12,Jamestown,US,42.097,-79.2353,44.71,37,90,8.01,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,55.47,46,92,6.33,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,25.9,75,100,5.88,overcast clouds
15,East London,ZA,-33.0153,27.9116,68.54,92,100,2.75,overcast clouds
16,Victoria,HK,22.2855,114.1577,65.25,57,47,1.01,scattered clouds
17,Clyde River,CA,70.4692,-68.5914,10.63,85,100,27.63,light snow
18,Busselton,AU,-33.65,115.3333,61.09,63,72,17.67,broken clouds
19,Saldanha,ZA,-33.0117,17.9442,60.85,90,53,16.91,broken clouds
20,Kapaa,US,22.0752,-159.319,79.12,68,40,5.01,light rain
21,Aklavik,CA,68.2191,-135.0107,-6.77,88,10,8.88,clear sky
22,Hilo,US,19.7297,-155.09,74.93,91,90,11.5,heavy intensity rain
23,Hermanus,ZA,-34.4187,19.2345,60.91,95,100,11.01,light rain
24,Wanning,CN,18.8003,110.3967,63.12,69,68,10.02,broken clouds
25,Buchanan,LR,5.8808,-10.0467,75.16,82,54,4.88,broken clouds
26,Souillac,MU,-20.5167,57.5167,78.37,78,40,8.05,light rain
27,Iqaluit,CA,63.7506,-68.5145,10.13,66,90,15.99,light snow
28,Eirunepe,BR,-6.6603,-69.8736,71.42,99,93,2.15,overcast clouds
29,Dutlwe,BW,-23.9833,23.9,68.05,79,96,7.52,overcast clouds
30,Namatanai,PG,-3.6667,152.4333,84.94,69,89,1.1,overcast clouds
31,Thompson,CA,55.7435,-97.8558,-18.24,69,1,9.22,clear sky
32,Tselinnoye,RU,53.0833,85.6667,14.85,95,100,3.87,overcast clouds
33,Bluff,NZ,-46.6,168.3333,55.8,52,57,17.31,broken clouds
34,New Norfolk,AU,-42.7826,147.0587,66.92,39,49,7.36,scattered clouds
35,Sorland,NO,67.667,12.6934,26.55,64,65,10.54,broken clouds
36,Banska Stiavnica,SK,48.4486,18.91,33.28,99,100,7.0,light snow
37,Neuquen,AR,-38.9516,-68.0591,84.09,30,0,8.05,clear sky
38,Kaeo,NZ,-35.1,173.7833,78.33,79,36,8.77,scattered clouds
39,Perez,AR,-32.9983,-60.7679,78.91,58,0,6.91,clear sky
40,Eskilstuna,SE,59.3666,16.5077,14.2,84,27,5.86,scattered clouds
41,Cartagena,CO,10.3997,-75.5144,82.02,83,75,5.75,broken clouds
42,Loandjili,CG,-4.7561,11.8578,78.6,89,100,3.56,moderate rain
43,Santa Rosa,PH,14.3122,121.1114,78.1,68,74,8.23,broken clouds
44,Buala,SB,-8.145,159.5921,79.81,87,100,14.23,moderate rain
45,Auki,SB,-8.7676,160.7034,79.27,89,95,11.41,light rain
46,Kyra,RU,49.5776,111.9753,8.24,92,30,3.65,scattered clouds
47,Nuevo Ideal,MX,24.8875,-105.0728,60.42,30,100,7.81,overcast clouds
48,Concordia,AR,-31.393,-58.0209,80.78,54,53,3.0,broken clouds
49,Mahebourg,MU,-20.4081,57.7,78.26,78,40,8.05,light rain
50,La Orilla,MX,17.9833,-102.2333,78.82,81,77,4.52,broken clouds
51,Albany,US,42.6001,-73.9662,37.58,61,98,4.47,overcast clouds
52,Cabo San Lucas,MX,22.8909,-109.9124,80.51,59,98,6.13,overcast clouds
53,Chicama,PE,-7.8447,-79.1469,63.14,77,100,6.42,overcast clouds
54,Prokopyevsk,RU,53.9059,86.719,14.77,85,97,4.45,overcast clouds
55,Haines Junction,CA,60.7522,-137.5108,-0.42,100,100,2.06,overcast clouds
56,Chuy,UY,-33.6971,-53.4616,64.2,87,96,6.08,overcast clouds
57,Port Alfred,ZA,-33.5906,26.891,68.61,94,100,4.9,overcast clouds
58,Grand-Santi,GF,4.25,-54.3833,73.6,99,91,2.21,overcast clouds
59,Punta Arenas,CL,-53.15,-70.9167,53.71,43,20,18.41,few clouds
60,Qandala,SO,11.472,49.8728,73.65,66,22,3.78,few clouds
61,Tasiilaq,GL,65.6145,-37.6368,30.16,88,99,23.15,light snow
62,Kaitangata,NZ,-46.2817,169.8464,53.92,55,89,7.9,overcast clouds
63,Saint-Philippe,RE,-21.3585,55.7679,76.55,79,37,10.83,scattered clouds
64,Sault Sainte Marie,CA,46.5168,-84.3333,27.16,86,90,14.97,snow
65,Nanortalik,GL,60.1432,-45.2371,26.92,64,97,28.57,light snow
66,Kodiak,US,57.79,-152.4072,31.51,80,90,0.0,light snow
67,Grandview,US,38.8858,-94.533,60.78,60,1,5.01,clear sky
68,Clinton,US,42.587,-82.9199,39.52,91,90,1.01,moderate rain
69,Muravlenko,RU,63.7898,74.523,-18.85,93,98,6.44,overcast clouds
70,Mar Del Plata,AR,-38.0023,-57.5575,63.88,79,0,15.01,clear sky
71,Sterling,US,39.0062,-77.4286,48.97,51,90,5.99,overcast clouds
72,Mayo,US,38.8876,-76.5119,51.26,68,1,0.0,clear sky
73,Jinchang,CN,38.4953,102.1739,26.98,45,18,6.58,few clouds
74,Georgetown,MY,5.4112,100.3354,77.9,81,20,5.01,light rain
75,Floro,NO,61.5996,5.0328,34.97,75,90,20.71,light snow
76,Mandera,KE,3.9366,41.867,81.07,41,53,6.11,broken clouds
77,Butaritari,KI,3.0707,172.7902,80.8,83,99,12.97,moderate rain
78,Hithadhoo,MV,-0.6,73.0833,81.28,79,90,12.15,overcast clouds
79,Taunggyi,MM,20.7833,97.0333,52.83,89,11,3.36,few clouds
80,Tura,IN,25.5198,90.2201,65.98,82,100,3.13,overcast clouds
81,Poso,ID,-1.3959,120.7524,82.33,71,97,1.23,overcast clouds
82,Castro,BR,-24.7911,-50.0119,63.75,86,98,0.72,overcast clouds
83,Port Hedland,AU,-20.3167,118.5667,98.65,16,88,14.97,overcast clouds
84,Maniitsoq,GL,65.4167,-52.9,27.14,62,100,36.53,overcast clouds
85,Itarema,BR,-2.9248,-39.9167,81.14,81,25,16.82,scattered clouds
86,Port Augusta,AU,-32.5,137.7667,77.7,52,94,8.43,overcast clouds
87,Faanui,PF,-16.4833,-151.75,81.39,66,55,16.67,broken clouds
88,Teya,RU,60.3778,92.6267,12.33,96,100,2.57,light snow
89,Colares,PT,38.7992,-9.4469,57.43,67,26,1.01,scattered clouds
90,Taoudenni,ML,22.6783,-3.9836,60.53,23,100,9.17,overcast clouds
91,Flinders,AU,-34.5833,150.8552,71.06,66,97,6.26,overcast clouds
92,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,broken clouds
93,Geraldton,AU,-28.7667,114.6,76.12,41,0,19.57,clear sky
94,Princeton,US,25.5384,-80.4089,77.0,86,1,3.44,clear sky
95,Linfen,CN,36.0889,111.5189,39.7,36,6,1.16,clear sky
96,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,20,16.11,few clouds
97,Khatanga,RU,71.9667,102.5,-18.04,99,97,7.02,overcast clouds
98,Iskateley,RU,67.6803,53.1512,19.08,86,100,18.25,overcast clouds
99,Codrington,AU,-38.2667,141.9667,74.62,36,91,11.07,overcast clouds
100,Rosetta,EG,31.4044,30.4164,64.22,66,70,7.67,broken clouds
101,Guerrero Negro,MX,27.9769,-114.0611,65.71,75,0,15.66,clear sky
102,Port Blair,IN,11.6667,92.75,78.64,70,44,10.76,scattered clouds
103,Bouca,CF,6.5105,18.2733,75.38,48,99,1.86,overcast clouds
104,Bettiah,IN,26.8,84.5,66.63,69,0,2.17,clear sky
105,Nouadhibou,MR,20.931,-17.0347,67.98,49,57,9.22,dust
106,Murdochville,CA,48.9583,-65.5006,14.88,78,99,8.72,overcast clouds
107,Cherskiy,RU,68.75,161.3,-37.68,97,90,3.13,overcast clouds
108,Bredasdorp,ZA,-34.5322,20.0403,59.29,96,100,9.06,moderate rain
109,Havoysund,NO,70.9963,24.6622,29.28,97,99,31.27,light snow
110,Cape Town,ZA,-33.9258,18.4232,61.21,90,75,1.99,moderate rain
111,Qaanaaq,GL,77.484,-69.3632,20.95,84,100,5.32,overcast clouds
112,Glens Falls,US,43.3095,-73.644,37.31,82,75,1.01,broken clouds
113,Isabela,PH,6.7085,121.9711,77.05,74,59,1.39,broken clouds
114,Weyburn,CA,49.6668,-103.8511,1.62,78,99,23.02,overcast clouds
115,Ribeira Grande,PT,38.5167,-28.7,64.18,71,87,9.15,overcast clouds
116,Talnakh,RU,69.4865,88.3972,-18.8,99,100,13.53,snow
117,Ratnagiri,IN,16.9833,73.3,71.22,83,0,4.72,clear sky
118,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,20,9.71,few clouds
119,Esfarayen,IR,37.0765,57.5101,35.26,51,78,4.54,broken clouds
120,Hasaki,JP,35.7333,140.8333,48.6,61,100,11.32,overcast clouds
121,Misratah,LY,32.3754,15.0925,56.93,36,0,14.9,clear sky
122,Saskylakh,RU,71.9167,114.0833,-34.64,99,99,4.79,overcast clouds
123,Yellowknife,CA,62.456,-114.3525,-19.71,85,20,2.3,few clouds
124,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,55,75,6.71,broken clouds
125,Port Moresby,PG,-9.4431,147.1797,81.82,78,75,11.5,broken clouds
126,Avarua,CK,-21.2078,-159.775,82.45,78,75,8.05,light rain
127,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,8.05,scattered clouds
128,Alenquer,BR,-1.9417,-54.7383,79.14,80,96,2.24,overcast clouds
129,Mananjary,MG,-21.2167,48.3333,75.07,90,2,6.71,clear sky
130,Bataipora,BR,-22.2953,-53.2711,78.69,41,20,3.56,few clouds
131,Ngunguru,NZ,-35.6167,174.5,78.17,80,44,13.13,scattered clouds
132,Stavern,NO,59.0,10.0333,21.31,81,100,14.58,overcast clouds
133,Aragarcas,BR,-15.8975,-52.2508,75.09,87,74,2.98,broken clouds
134,Port Lincoln,AU,-34.7333,135.8667,66.47,55,12,1.07,few clouds
135,Lerwick,GB,60.1545,-1.1494,41.0,64,59,8.5,broken clouds
136,Longyearbyen,SJ,78.2186,15.6401,9.57,92,69,4.12,broken clouds
137,Kiunga,PG,-6.1219,141.2906,85.14,66,77,2.1,broken clouds
138,Alyangula,AU,-13.8483,136.4192,85.87,89,98,0.0,overcast clouds
139,Egvekinot,RU,66.3167,-179.1667,-0.38,82,97,26.8,overcast clouds
140,Ust-Kuyga,RU,70.0167,135.6,-21.15,98,100,2.86,overcast clouds
141,Barrow,US,71.2906,-156.7887,12.22,79,90,21.85,haze
142,Vaini,TO,-21.2,-175.2,84.36,84,40,11.5,scattered clouds
143,Dikson,RU,73.5069,80.5464,-3.96,95,100,9.86,overcast clouds
144,Mazatlan,MX,23.2167,-106.4167,78.03,79,92,1.01,overcast clouds
